font name,XOPQ (units),XOPQ (permill),XOUC (units),XOUC (permill),XOLC (units),XOLC (permill),XOFI (units),XOFI (permill),XTRA (units),XTRA (permill),XTUC (units),XTUC (permill),XTLC (units),XTLC (permill),XTFI (units),XTFI (permill),XTAB (units),XTAB (permill),XTSP (units),XTSP (permill),XUCS (units),XUCS (permill),XUCR (units),XUCR (permill),XLCS (units),XLCS (permill),XLCR (units),XLCR (permill),XFIR (units),XFIR (permill),YOPQ (units),YOPQ (permill),YOUC (units),YOUC (permill),YOLC (units),YOLC (permill),YOFI (units),YOFI (permill),YTRA (units),YTRA (permill),YTUC (units),YTUC (permill),YTLC (units),YTLC (permill),YTFI (units),YTFI (permill),YTAS (units),YTAS (permill),YTDE (units),YTDE (permill),YTOS (units),YTOS (permill),YTUO (units),YTUO (permill),YTLO (units),YTLO (permill),YTFO (units),YTFO (permill),YTDO (units),YTDO (permill),YTAO (units),YTAO (permill),XOAC (units),XOAC (permill),YOAC (units),YOAC (permill),YTUA (units),YTUA (permill),YTLA (units),YTLA (permill),YUAT (units),YUAT (permill),YLAT (units),YLAT (permill),UDLN (units),UDLN (permill),YTTL (units),YTTL (permill),XTTW (units),XTTW (permill),XDOT (units),XDOT (permill),YDOT (units),YDOT (permill)
RobotoFlex_wght400,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1156,564,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,186,91,131,64,,,,,,,,,-244,-119,133,65,10,5,260,127,250,122
RobotoFlex_slnt-10,192,94,192,94,186,91,196,96,734,358,734,358,480,234,548,268,1156,564,42,21,42,21,107,52,20,10,47,23,63,31,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,171,83,117,57,,,,,,,,,-244,-119,141,69,10,5,260,127,250,122
RobotoFlex_GRAD-200,131,64,131,64,128,62,133,65,816,398,816,398,577,282,613,299,1156,564,190,93,190,93,135,66,158,77,102,50,139,68,100,49,100,49,90,44,107,52,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,111,54,84,41,,,,,,,,,-243,-119,169,83,11,5,192,94,193,94
RobotoFlex_GRAD150,254,124,254,124,246,120,268,131,642,313,642,313,400,195,454,222,1156,564,154,75,154,75,95,46,128,62,70,34,84,41,221,108,221,108,209,102,227,111,1872,914,1456,711,1070,522,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,245,120,188,92,,,,,,,,,-242,-118,133,65,10,5,332,162,335,164
RobotoFlex_XTSP-100,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,956,467,10,5,10,5,10,5,10,5,10,5,10,5,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,186,91,131,64,,,,,,,,,-244,-119,133,65,10,5,260,127,250,122
RobotoFlex_XTSP100,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1406,687,295,144,295,144,240,117,273,133,210,103,235,115,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,186,91,131,64,,,,,,,,,-244,-119,133,65,10,5,260,127,250,122
RobotoFlex_XOPQ26,54,26,54,26,54,26,55,27,734,358,734,358,480,234,548,268,878,429,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,87,42,131,64,,,,,,,,,-244,-119,155,76,12,6,174,85,170,83
RobotoFlex_XOPQ171,350,171,350,171,340,166,360,176,734,358,734,358,480,234,388,189,1156,564,170,83,170,83,115,56,148,72,85,42,24,12,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-32,-16,20,10,20,10,350,171,131,64,,,,,,,,,-244,-119,133,65,10,5,386,188,376,184
RobotoFlex_XTRA222,192,94,192,94,186,91,195,95,454,222,454,222,258,126,310,151,920,449,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,186,91,131,64,,,,,,,,,-244,-119,130,63,6,3,260,127,250,122
RobotoFlex_XTRA495,192,94,192,94,186,91,193,94,1014,495,1014,495,787,384,784,383,1390,679,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,186,91,131,64,,,,,,,,,-244,-119,227,111,13,6,260,127,250,122
RobotoFlex_YOPQ132,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1156,564,170,83,170,83,115,56,148,72,85,42,110,54,270,132,270,132,260,127,280,137,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,186,91,196,96,,,,,,,,,-174,-85,86,42,8,4,260,127,251,123
RobotoFlex_YOPQ24,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1156,564,170,83,170,83,115,56,148,72,85,42,110,54,50,24,50,24,50,24,50,24,1872,914,1456,711,1072,523,1456,711,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,186,91,29,14,,,,,,,,,-244,-119,264,129,10,5,260,127,250,122
RobotoFlex_YTAS649,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1156,564,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1330,649,-416,-203,30,15,30,15,30,15,-30,-15,20,10,102,50,186,91,131,64,,,,,,,,,-244,-119,133,65,10,5,260,127,250,122
RobotoFlex_YTAS854,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1156,564,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1456,711,1750,854,-416,-203,30,15,30,15,30,15,-30,-15,20,10,21,10,186,91,131,64,,,,,,,,,-244,-119,133,65,10,5,260,127,250,122
RobotoFlex_YTDE-98,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1156,564,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,1656,809,1456,711,1072,523,1456,711,1536,750,-200,-98,30,15,30,15,30,15,-30,-15,20,10,20,10,186,91,131,64,,,,,,,,,-244,-119,133,65,10,5,260,127,250,122
RobotoFlex_YTDE-303,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1156,564,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,2076,1014,1456,711,1072,523,1456,711,1536,750,-620,-303,30,15,30,15,30,15,-30,-15,25,12,20,10,186,91,131,64,,,,,,,,,-244,-119,133,65,10,5,260,127,250,122
RobotoFlex_YTUC760,192,94,192,94,,,,,734,358,734,358,,,,,,,170,83,170,83,115,56,,,,,,,158,77,158,77,,,,,,,1556,760,,,,,,,,,33,16,33,16,,,,,,,,,186,91,131,64,,,,,,,,,,,142,69,10,5,,,,
RobotoFlex_YTUC528,192,94,192,94,186,91,,,734,358,734,358,480,234,,,,,170,83,170,83,115,56,148,72,85,42,,,158,77,158,77,142,69,,,1498,731,1082,528,1072,523,,,1536,750,-416,-203,30,15,30,15,30,15,,,20,10,20,10,,,,,,,,,,,,,,,103,50,10,5,,,,
RobotoFlex_YTLC426,,,,,186,91,,,,,,,480,234,,,,,,,,,,,148,72,85,42,,,,,,,142,69,,,,,,,872,426,,,1536,750,-416,-203,,,,,30,15,,,20,10,20,10,,,,,,,,,,,,,,,,,,,,,,
RobotoFlex_YTLC580,192,94,192,94,186,91,,,734,358,734,358,480,234,,,,,170,83,170,83,115,56,148,72,85,42,,,158,77,158,77,142,69,,,1872,914,1456,711,1188,580,,,1536,750,-416,-203,30,15,30,15,30,15,,,20,10,20,10,,,,,,,,,,,,,,,133,65,10,5,,,,
RobotoFlex_YTFI760,,,,,,,194,95,,,,,,,548,268,1156,564,,,,,,,,,,,110,54,,,,,,,158,77,,,,,,,1556,760,,,,,,,,,,,-30,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
RobotoFlex_YTFI532,192,94,192,94,186,91,194,95,734,358,734,358,480,234,548,268,1156,564,170,83,170,83,115,56,148,72,85,42,110,54,158,77,158,77,142,69,158,77,1872,914,1456,711,1072,523,1090,532,1536,750,-416,-203,30,15,30,15,30,15,-30,-15,20,10,20,10,,,,,,,,,,,,,,,133,65,10,5,,,,
